id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
31,Siamton Inn - A Cygnett Collection,4,4,Very Good,2312,4,Park Street ,Park Street,10 m ,"2,790",677,"3,467",3467
32,Hotel Aauris,4.1,4,Very Good,1658,4,Park Street ,Park Street,430 m ,"4,650",950,"5,600",5600
33,"Howard Johnson by Wyndham, Kolkata Airport",3.9,4,Very Good,1150,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.6 km ,"2,500",0,"2,500",2500
34,Park Prime Kolkata,3.8,4,Very Good,2036,3,Ballygunge,,,"3,652","1,006","4,658",4658
35,Joey's Nest,4.7,5,Excellent,54,,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,9.5 km ,"2,245",583,"2,828",2828
36,Hotel Hindusthan International,3.6,4,Very Good,1907,5,Bhowanipore,,,"4,134",978,"5,112",5112
37,Hotel Niharika,4.1,4,Very Good,1551,3,Elgin,,,"2,790",570,"3,360",3360
38,Vedic Village Spa Resort,4,4,Very Good,3761,4,Vedic Village,,,"3,688",944,"4,632",4632
39,Park Palace Hotel,3.6,4,Very Good,1471,3,Ballygunge,,,"1,350",431,"1,781",1781
40,Offbeat CCU Bunkers,4.3,4,Excellent,92,,Topsia,,,944,205,"1,149",1149
41,Monotel Luxury Business Hotel,3.9,4,Very Good,1744,4,Salt Lake City,,,"3,523",855,"4,378",4378
42,AIRPORT CITY HOTEL,3.9,4,Very Good,1658,4,Birati ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,994",767,"3,761",3761
43,The Lindsay,3.5,4,Very Good,1990,3,New Market Area ,Park Street,870 m ,"2,907",710,"3,617",3617
44,RituIvy,4,4,Very Good,547,3,East Kolkata Township,,,"2,132",588,"2,720",2720
45,Hotel O2 Oxygen,3.8,4,Very Good,826,4,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.1 km ,"2,856",583,"3,439",3439
46,VISITEL - A BOUTIQUE HOTEL,3.8,4,Very Good,1058,3,Kankurgachi,,,"1,991",590,"2,581",2581
47,IndiSmart Hotel,3.9,4,Very Good,277,3,Salt Lake City,,,"1,999",515,"2,514",2514
48,LYNQ AERO,4,4,Very Good,461,3,Salt Lake City,,,"3,242",767,"4,009",4009
49,"Park Guest House, Kolkata",3.7,4,Very Good,19,,Park Street ,Park Street,140 m ,"1,045",315,"1,360",1360
